list_id,product_type,brand,model,condition,warranty,color,origin
117073698,Điện thoại,1.0,2412.0,,,,
121413313,Điện thoại,1.0,2411.0,,,,
123632269,Điện thoại,2.0,2425.0,,,,
124716343,Laptop,,,,,,
131233808,"Linh kiện (RAM, Card...)",,,,,,
132242266,Điện thoại,2.0,2461.0,,,,
132393140,Laptop,,,,,,
132611326,Điện thoại,2.0,2616.0,,,,
132613318,Điện thoại,15.0,2429.0,,,,
132762000,Điện thoại,1.0,1955.0,,,,
132775837,"Tivi, Âm thanh",,,,,,
132791244,Điện thoại,1.0,4799.0,,,,
132820508,Điện thoại,11.0,2420.0,,,,
132828756,Điện thoại,1.0,211.0,,,,
132828898,Điện thoại,1.0,2253.0,,,,
132829051,Máy tính để bàn,,,,,,
132845774,"Máy ảnh, Máy quay",,,,,,
132845775,Điện thoại,15.0,2453.0,,,,
132845793,Điện thoại,15.0,4668.0,,,,
132845804,Thiết bị đeo thông minh,,,,,,
132845805,Điện thoại,1.0,211.0,,,,
132845820,Điện thoại,1.0,2483.0,,,,
132845823,Điện thoại,15.0,4668.0,,,,
132845825,Laptop,,,,,,
132845858,Điện thoại,15.0,160.0,,,,
132845873,"Máy ảnh, Máy quay",,,,,,
132845904,Điện thoại,1.0,2411.0,,,,
132845955,Điện thoại,1.0,2250.0,,,,
132845997,"Tivi, Âm thanh",,,,,,
132846003,Điện thoại,1.0,593.0,,,,
132846045,"Tivi, Âm thanh",,,,,,
132846065,"Tivi, Âm thanh",,,,,,
132846067,Điện thoại,11.0,647.0,,,,
132846074,"Tivi, Âm thanh",,,,,,
132846105,"Phụ kiện (Màn hình, Chuột...)",,,,,,
132846123,"Phụ kiện (Màn hình, Chuột...)",,,,,,
132846137,Điện thoại,12.0,971.0,,,,
132846140,Điện thoại,1.0,1955.0,,,,
132846149,Laptop,,,,,,
132846160,"Linh kiện (RAM, Card...)",,,,,,
132846170,"Phụ kiện (Màn hình, Chuột...)",,,,,,
132846258,"Linh kiện (RAM, Card...)",,,,,,
132846310,"Tivi, Âm thanh",,,,,,
132846313,Máy tính bảng,,,,,,
132846447,Điện thoại,29.0,614.0,,,,
132846452,"Tivi, Âm thanh",,,,,,
132846501,Điện thoại,1.0,2250.0,,,,
132846527,Điện thoại,1.0,1955.0,,,,
132846565,Điện thoại,2.0,2332.0,,,,
132846582,Máy tính bảng,,,,,,
132846694,Máy tính bảng,,,,,,
132846703,Điện thoại,1.0,1955.0,,,,
132846716,Điện thoại,1.0,591.0,,,,
132846724,"Linh kiện (RAM, Card...)",,,,,,
132846778,Điện thoại,2.0,2316.0,,,,
132846797,Thiết bị đeo thông minh,,,,,,
132846798,Điện thoại,1.0,1955.0,,,,
132846811,Điện thoại,1.0,2483.0,,,,
132846821,"Tivi, Âm thanh",,,,,,
132846829,Máy tính bảng,,,,,,
