list_id,service_type,provider_type,price_unit
124769394,[],,[]
128507646,[],,[]
131935151,[],,[]
132567354,[],,[]
132582518,[],,[]
132583450,[],,[]
132584921,[],,[]
132586587,[],,[]
132587515,[],,[]
132595972,[],,[]
132596001,[],,[]
132612941,[],,[]
132622765,[],,[]
132625197,[],,[]
132630505,[],,[]
132641627,[],,[]
132641694,[],,[]
132653405,[],,[]
132655632,[],,[]
132655911,[],,[]
132661087,[],,[]
132704940,[],,[]
132705142,[],,[]
132705171,[],,[]
132705231,[],,[]
132705296,[],,[]
132705433,[],,[]
132705441,[],,[]
132705470,[],,[]
132707076,[],,[]
132710843,[],,[]
132714188,[],,[]
132716223,[],,[]
132719055,[],,[]
132726594,[],,[]
132728984,[],,[]
132734615,[],,[]
132743352,[],,[]
132751363,[],,[]
132754821,[],,[]
132754956,[],,[]
132765370,[],,[]
132765812,[],,[]
132767846,[],,[]
132771657,[],,[]
132775214,[],,[]
132775598,[],,[]
132777897,[],,[]
132779241,[],,[]
132780009,[],,[]
132783831,[],,[]
132789019,[],,[]
132796321,[],,[]
132802106,[],,[]
132802416,[],,[]
132802948,[],,[]
132804054,[],,[]
132809021,[],,[]
132829675,[],,[]
132840438,[],,[]
