ad_id,list_id,title,price,area,district,ward,city,property_type,rooms,date,body,price_per_m2,price_billion,area_group,price_group
176062730,132371456,BÁN NHÀ Trần_Duy_Hưng  7TẦNG THANG_MÁY - Ô TÔ TRÁNH - Gara,30000000000,70.0,Quận Cầu Giấy,Phường Trung Hoà,Hà Nội,Nhà ở,11.0,22 phút trước,"BÁN NHÀ #Trần_Duy_Hưng #7TẦNG #THANG_MÁY - Ô TÔ TRÁNH - Gara 
Diện tích 70m2 
Vị trí cực đẹp - gần phố, #OTO tránh, hưởng trọn tiện tích, thiết kế hiện đại 11 phòng ngủ rộng khép kín, tặng full nội thất xịn

Giá bán 30 tỷ nhỉnh( có thương lượng)
Quan tâm liên hệ *** xem 24/7.
",428571428.5714286,30.0,medium,over_10b
175659390,132025602,"Nhà đẹp KĐT Đại Kim, Hoàng Mai 55m² 5 tầng vỉa hè ô tô tránh",16500000000,55.0,Quận Hoàng Mai,Phường Đại Kim,Hà Nội,Nhà ở,5.0,2 giờ trước,"45190112
Sốc - KĐT Đại Kim 55m² 5 tầng vỉa hè ô tô tránh.
- Nhà thuộc Khu đô thị Đại Kim, quy hoạch đồng bộ, dân cư đông, thanh khoản tốt.
- Đường phân lô, vỉa hè rộng phù hợp vừa ở vừa làm VP/cho thuê.
- Kết nối nhanh Nguyễn Xiển Giải Phóng Vành đai 3, gần Bán đảo Linh Đàm.
Giá 16,5 tỷ tài sản lõi khu đô thị phía Nam Hà Nội.
Nguyễn Huy Hiệu - 0936 665 ***. *** ",300000000.0,16.5,small,over_10b
176062899,132371587,"CHO THUÊ MẶT BẰNG, SÀN VP",25000000,75.0,Quận Bắc Từ Liêm,Phường Đông Ngạc,Hà Nội,"Văn phòng, Mặt bằng kinh doanh",3.0,3 phút trước,"Dự án: 
Thông tin chi tiết: Cho thuê mặt bằng mặt phố, phù hợp tất cả mọi loại hình kinh doanh, quán ăn, bi-a, quán nét,.....liên hệ chính chủ để được giá ***. 2 nhà liền kề nhau 1 bên 70M2 2 bên 140m2. 2 sàn 280m2 có thể thuê 2 mặt bằng + thêm sàn lên trên",333333.3333333333,0.025,medium,under_1b
175643562,132012036,"Bán nhà Di Trạch 48m2, full nội thất 5,2 tỷ",5200000000,48.0,Huyện Hoài Đức,Xã Di Trạch,Hà Nội,Nhà ở,4.0,55 phút trước,"Dự án: 
Thông tin chi tiết: 🏅🏅🏅 Nhà đẹp DI TRẠCH , thiết kế hiện đại, full nội thất ,gần UBND xã , trường học . 
- Gần các trường đại học 
Cách ubnd xã , trường học các  cấp , chợ …. Chỉ 3 bước chân .
- Dân cư đông đúc , dân trí cao . Hàng xóm thân thiện. Giao thông thuận tiện.

💥 Thiết kế : 5 tầng hiện đại .
+ Tầng 1 : Phòng khách , bếp ,wc
+ Tầng 2,3,: Phòng ngủ, wc
+ Tầng 4: Phòng thờ , sân phơi .
🎗 Cam kết 
- Sổ đỏ chính chủ 
- Hỗ trợ ngân hàng tới 70% .

📞 Mọi thông tin chi tiết vui lòng liên hệ 
Sđt ***",108333333.33333333,5.2,small,5_10b
176036459,132348939,cho thuê nhà khép kín ngõ Văn Hương,3500000,15.0,Quận Đống Đa,Phường Hàng Bột,Hà Nội,Nhà ở,2.0,2 giờ trước,"Chính chủ cần cho thuê nhà trong ngõ Văn Hương,nhà khép kín có bếp và nvs riêng.Điện nước theo công tơ nhà nước",233333.33333333334,0.0035,very_small,under_1b
171270924,128251408,Chính chủ cho thuê Chung cư mini mỹ đình - giá chỉ 3.5tr,3800000,25.0,Quận Nam Từ Liêm,Phường Phú Đô,Hà Nội,Phòng trọ,3.0,25 phút trước,"- Chính chủ cho thuê phòng tại Mỹ Đình, phòng có diện tích 25m2 đã trang bị đầy đủ trang thiết bị: điều hòa, nóng lạnh, tủ lạnh, bếp nấu, hút mùi.....
- Phòng nào cũng có ban công, cửa sổ siêu thoáng.
- Phòng ở gần ngay sân vận động Mỹ Đình, ngõ trước nhà ô tô đỗ cửa ra vào thoải mái.
- Giá phòng cho thuê hợp lý, nhiều ưu đãi cho khách thuê.",152000.0,0.0038,very_small,under_1b
176062426,132371217,"CHỈ 16.3 TỶ - SỞ HỮU ""CỖ MÁY IN TIỀN"" PCCC CHUẨN 2026 Hoàng Mai",16200000000,55.0,Quận Hoàng Mai,Phường Tương Mai,Hà Nội,Nhà ở,11.0,52 phút trước,"CHỈ 16.3 TỶ - SỞ HỮU ""CỖ MÁY IN TIỀN"" PCCC CHUẨN 2026
📍 Vị trí: 197 Hoàng Mai - Sát vách Bách-Kinh-Xây.
Thông số: 55m2 x 6T | MT 4.5m | Thang máy | 14 Phòng khép kín.

📈 Dòng tiền 850tr/năm (~6%/năm). 14 căn hộ Full nội thất.
🛡️ An toàn tuyệt đối: Hệ thống PCCC Spindler, cửa chống cháy, lối thoát hiểm riêng.
Sổ đỏ chính chủ - giao dich ngay
📞 LH: Em Phượng Đất- *** (Check quy hoạch & xem nhà 24/7).",294545454.54545456,16.2,small,over_10b
174997460,131460370,BÁN NHÀ PHỐ VŨ TÔNG PHAN- 40M* 5TẦNG- Ô TÔ ĐỖ SÁT NHÀ- NGÕ THÔNG,10300000000,40.0,Quận Thanh Xuân,Phường Khương Trung,Hà Nội,Nhà ở,5.0,1 giờ trước,"Dự án: 
Thông tin chi tiết: • Diện tích: 40m
 • Thiết kế: 5 tầng, 5 phòng ngủ, đầy đủ công năng
 • Pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch

Vị trí cực đẹp – trung tâm phố khương hạ, thanh xuân 
• trước nhà thoáng sáng
 • vài bước ra mặt phố
 • Ngõ thông các tuyến đường lớn: Khương Trung - Khương Đình - Nguyễn Trãi - Ngã tư sở – Kim Giang – Vũ Tông Phan
 • Gần chợ, trường mầm non, cấp 1, cấp 2 – tiện ích không thiếu thứ gì
 • Khu dân cư an ninh tốt, an sinh đỉnh cao

Liên hệ: Em Huê – để xem nhà trực tiếp.
Miễn phí tư vấn pháp lý – hỗ trợ nhiệt tình đến khi vào ở.",257500000.0,10.3,small,over_10b
175945999,132270869,Cho thuê nhà 4 tầng ngõ phố Lê Gia Định,7500000,18.0,Quận Hai Bà Trưng,Phường Đồng Nhân,Hà Nội,Nhà ở,2.0,4 phút trước,"Nhà 4 tầng, 2 ngủ 2 vệ sinh.
Nhà ngõ yên tĩnh, dân cư xung quoanh văn hoá.
Gần chợ, trường học, bệnh viện, hồ,…
Nhà mới sửa sạch sẽ, đủ đồ dùng chỉ việc vào ở. Bếp từ, bình nóng lạnh, tủ lạnh, điều hoà, tủ, đệm…
Phù hợp gia đình con nhỏ.
",416666.6666666667,0.0075,very_small,under_1b
176062263,132371093,"ìm đâu ra lô đất đẹp, nhỏ tiền 4,2 Tỷ, 33M ở Phú Lương được nữa ?",4200000000,44.0,Quận Hà Đông,Phường Phú Lương,Hà Nội,Đất,3.0,1 giờ trước,"Chính chủ cần bán nhanh để xoay vốn nên mới để giá 4,2 tỷ.
Diện tích 33m², vưà túi tiền hầu hết mọi người.
Đất đẹp, nở hậu, Mặt Tiền 4m, hậu 6m
Ngõ nông, cách 1 nhà ra ô tô, hiện trạng ngõ 1,7m
Ngay gần chợ, giữa làng nghề, tiện kinh doanh.
Sổ đỏ, sẵn sàng giao dịch.
Rất khó để tìm được lô đất đẹp mà giá chỉ 4,2 tỷ ( có thương lượng ), ai nhanh thì được.
Địa chỉ: 1.10 Đình Làng Bắc Lãm,  Phú Lương, Hà Nội
LH : ***
",95454545.45454545,4.2,small,3_5b
