list_id,product_type,brand,model,condition,warranty,color,origin
117073698,Điện thoại,1.0,2412.0,,,,
121413313,Điện thoại,1.0,2411.0,,,,
123632269,Điện thoại,2.0,2425.0,,,,
124716343,Laptop,,,,,,
131233808,"Linh kiện (RAM, Card...)",,,,,,
132242266,Điện thoại,2.0,2461.0,,,,
132393140,Laptop,,,,,,
132611326,Điện thoại,2.0,2616.0,,,,
132613318,Điện thoại,15.0,2429.0,,,,
132762000,Điện thoại,1.0,1955.0,,,,
132775837,"Tivi, Âm thanh",,,,,,
132791244,Điện thoại,1.0,4799.0,,,,
132820508,Điện thoại,11.0,2420.0,,,,
132828756,Điện thoại,1.0,211.0,,,,
132828898,Điện thoại,1.0,2253.0,,,,
132829051,Máy tính để bàn,,,,,,
132845774,"Máy ảnh, Máy quay",,,,,,
132845775,Điện thoại,15.0,2453.0,,,,
132845793,Điện thoại,15.0,4668.0,,,,
132845804,Thiết bị đeo thông minh,,,,,,
132845805,Điện thoại,1.0,211.0,,,,
132845820,Điện thoại,1.0,2483.0,,,,
132845823,Điện thoại,15.0,4668.0,,,,
132845825,Laptop,,,,,,
132845858,Điện thoại,15.0,160.0,,,,
132845873,"Máy ảnh, Máy quay",,,,,,
132845904,Điện thoại,1.0,2411.0,,,,
132845955,Điện thoại,1.0,2250.0,,,,
132845997,"Tivi, Âm thanh",,,,,,
132846003,Điện thoại,1.0,593.0,,,,
132846045,"Tivi, Âm thanh",,,,,,
132846065,"Tivi, Âm thanh",,,,,,
132846067,Điện thoại,11.0,647.0,,,,
132846074,"Tivi, Âm thanh",,,,,,
132846105,"Phụ kiện (Màn hình, Chuột...)",,,,,,
132846123,"Phụ kiện (Màn hình, Chuột...)",,,,,,
132846137,Điện thoại,12.0,971.0,,,,
132846140,Điện thoại,1.0,1955.0,,,,
132846149,Laptop,,,,,,
132846160,"Linh kiện (RAM, Card...)",,,,,,
132846170,"Phụ kiện (Màn hình, Chuột...)",,,,,,
132846258,"Linh kiện (RAM, Card...)",,,,,,
132846310,"Tivi, Âm thanh",,,,,,
132846313,Máy tính bảng,,,,,,
132846447,Điện thoại,29.0,614.0,,,,
132846452,"Tivi, Âm thanh",,,,,,
132846501,Điện thoại,1.0,2250.0,,,,
132846527,Điện thoại,1.0,1955.0,,,,
132846565,Điện thoại,2.0,2332.0,,,,
132846582,Máy tính bảng,,,,,,
132846694,Máy tính bảng,,,,,,
132846703,Điện thoại,1.0,1955.0,,,,
132846716,Điện thoại,1.0,591.0,,,,
132846724,"Linh kiện (RAM, Card...)",,,,,,
132846778,Điện thoại,2.0,2316.0,,,,
132846797,Thiết bị đeo thông minh,,,,,,
132846798,Điện thoại,1.0,1955.0,,,,
132846811,Điện thoại,1.0,2483.0,,,,
132846821,"Tivi, Âm thanh",,,,,,
132846829,Máy tính bảng,,,,,,
102790428,Chó,,,,,,
119804165,Chó,,,,,,
121544028,Chó,,,,,,
121933871,Chó,,,,,,
122668352,Mèo,,,,,,
123692397,Chó,,,,,,
124675395,Chó,,,,,,
126630778,Chó,,,,,,
127248336,Chó,,,,,,
129101405,Chó,,,,,,
130749520,Chó,,,,,,
131018120,"Phụ kiện, Thức ăn, Dịch vụ",,,1.0,,,
131730256,Chó,,,,,,
131805324,Mèo,,,,,,
132115044,Mèo,,,,,,
132269122,Chó,,,,,,
132403449,Mèo,,,,,,
132443278,Mèo,,,,,,
132549028,Mèo,,,,,,
132567167,Chó,,,,,,
132648380,Chó,,,,,,
132668314,Chó,,,,,,
132700462,Chó,,,,,,
132725505,Mèo,,,,,,
132789882,Chó,,,,,,
132807836,Chó,,,,,,
132816585,Chó,,,,,,
132824016,Chó,,,,,,
132825919,Chó,,,,,,
132826302,Mèo,,,,,,
132828987,Mèo,,,,,,
132830382,Mèo,,,,,,
132839474,Chó,,,,,,
132840273,Mèo,,,,,,
132842342,Gà,,,,,,
132842602,"Phụ kiện, Thức ăn, Dịch vụ",,,1.0,,,
132842769,Chim,,,,,,
132842791,Chim,,,,,,
132842960,Mèo,,,,,,
132843181,Mèo,,,,,,
132843228,Chó,,,,,,
132843323,Mèo,,,,,,
132843339,Mèo,,,,,,
132843347,Mèo,,,,,,
132843658,Gà,,,,,,
132844000,Chim,,,,,,
132844195,Mèo,,,,,,
132844498,Mèo,,,,,,
132844736,Chó,,,,,,
132844830,Thú cưng khác,,,,,,
132845044,Mèo,,,,,,
132845572,Mèo,,,,,,
132846085,"Phụ kiện, Thức ăn, Dịch vụ",,,1.0,,,
132846209,Chim,,,,,,
132846409,Chó,,,,,,
132846416,"Phụ kiện, Thức ăn, Dịch vụ",,,2.0,,,
132846836,Chim,,,,,,
54508671,Chó,,,2.0,,,
91167751,Chó,,,,,,
91279128,Chó,,,,,,
131486766,Máy giặt,,,1.0,,,
131628379,Máy giặt,,,1.0,,,
131654387,"Máy lạnh, điều hoà",,,2.0,,,
131691880,Máy giặt,,,1.0,,,
131691955,Máy giặt,,,1.0,,,
131692308,Máy giặt,,,1.0,,,
131692618,Máy giặt,,,1.0,,,
131692675,Máy giặt,,,1.0,,,
131701792,Máy giặt,,,1.0,,,
131761649,"Máy lạnh, điều hoà",,,2.0,,,
132004418,"Máy lạnh, điều hoà",,,1.0,,,
132262434,"Máy lạnh, điều hoà",,,1.0,,,
132576444,Tủ lạnh,,,1.0,,,
132701482,Tủ lạnh,,,1.0,,,
132735368,Tủ lạnh,,,1.0,,,
132735520,"Máy lạnh, điều hoà",,,1.0,,,
132762872,Tủ lạnh,,,1.0,,,
132826799,Máy giặt,,,1.0,,,
132826815,Máy giặt,,,1.0,,,
132826824,"Máy lạnh, điều hoà",,,1.0,,,
132826838,Tủ lạnh,,,1.0,,,
132826857,Tủ lạnh,,,1.0,,,
132826875,Tủ lạnh,,,1.0,,,
132827298,Máy giặt,,,1.0,,,
132828164,Tủ lạnh,,,1.0,,,
132828222,"Máy lạnh, điều hoà",,,1.0,,,
132828604,"Máy lạnh, điều hoà",,,1.0,,,
132828669,"Máy lạnh, điều hoà",,,1.0,,,
132829003,"Máy lạnh, điều hoà",,,1.0,,,
132829694,"Máy lạnh, điều hoà",,,1.0,,,
132829798,"Máy lạnh, điều hoà",,,1.0,,,
132831223,"Máy lạnh, điều hoà",,,1.0,,,
132831814,Máy giặt,,,1.0,,,
132832075,Tủ lạnh,,,1.0,,,
132832552,"Máy lạnh, điều hoà",,,1.0,,,
132833522,Máy giặt,,,1.0,,,
132834136,Tủ lạnh,,,1.0,,,
132834239,Tủ lạnh,,,1.0,,,
132835103,Tủ lạnh,,,1.0,,,
132838159,Tủ lạnh,,,1.0,,,
132838202,Tủ lạnh,,,1.0,,,
132838658,Tủ lạnh,,,1.0,,,
132839186,Tủ lạnh,,,1.0,,,
132839326,Tủ lạnh,,,1.0,,,
132840539,Máy giặt,,,1.0,,,
132842233,"Máy lạnh, điều hoà",,,1.0,,,
132842487,Tủ lạnh,,,1.0,,,
132843831,Máy giặt,,,1.0,,,
132843954,Máy giặt,,,1.0,,,
132844264,Tủ lạnh,,,1.0,,,
132844339,Tủ lạnh,,,1.0,,,
132844378,Tủ lạnh,,,1.0,,,
132844965,Tủ lạnh,,,1.0,,,
132845183,Tủ lạnh,,,1.0,,,
132846288,Tủ lạnh,,,1.0,,,
132846289,Tủ lạnh,,,1.0,,,
132846325,Tủ lạnh,,,1.0,,,
132846490,"Máy lạnh, điều hoà",,,1.0,,,
132846782,Tủ lạnh,,,1.0,,,
132846825,Tủ lạnh,,,1.0,,,
105254168,101,,,2.0,,,
113280049,2,,,1.0,,,
131463454,6,,,2.0,,,
131495059,6,,,2.0,,,
132198568,"Nội thất, đồ gia dụng khác",,,2.0,,,
132828725,7,,,1.0,,,
132843345,"Nội thất, đồ gia dụng khác",,,2.0,,,
132843371,"Nội thất, đồ gia dụng khác",,,2.0,,,
132843433,2,,,2.0,,,
132843502,"Nội thất, đồ gia dụng khác",,,1.0,,,
132843514,101,,,1.0,,,
132843554,7,,,1.0,,,
132843585,101,,,2.0,,,
132843617,101,,,1.0,,,
132843622,7,,,2.0,,,
132843629,13,,,2.0,,,
132843639,5,,,1.0,,,
132843647,"Nội thất, đồ gia dụng khác",,,2.0,,,
132843723,13,,,1.0,,,
132843734,101,,,1.0,,,
132843936,1,,,1.0,,,
132844005,4,,,1.0,,,
132844087,101,,,1.0,,,
132844125,16,,,1.0,,,
132844169,7,,,1.0,,,
132844174,101,,,1.0,,,
132844293,2,,,2.0,,,
132844565,101,,,1.0,,,
132844629,6,,,1.0,,,
132844662,3,,,1.0,,,
132844677,"Nội thất, đồ gia dụng khác",,,1.0,,,
132844711,2,,,1.0,,,
132844723,"Nội thất, đồ gia dụng khác",,,1.0,,,
132844839,7,,,1.0,,,
132844902,"Nội thất, đồ gia dụng khác",,,1.0,,,
132844922,7,,,1.0,,,
132844989,101,,,1.0,,,
132845126,9,,,1.0,,,
132845229,6,,,1.0,,,
132845337,7,,,1.0,,,
132845346,101,,,1.0,,,
132845394,"Nội thất, đồ gia dụng khác",,,1.0,,,
132845817,101,,,1.0,,,
132845878,"Nội thất, đồ gia dụng khác",,,1.0,,,
132846076,"Nội thất, đồ gia dụng khác",,,1.0,,,
132846093,3,,,1.0,,,
132846182,101,,,1.0,,,
132846204,2,,,1.0,,,
132846234,2,,,2.0,,,
132846291,2,,,1.0,,,
132846298,13,,,1.0,,,
132846334,7,,,1.0,,,
132846414,"Nội thất, đồ gia dụng khác",,,1.0,,,
132846438,101,,,1.0,,,
132846449,2,,,1.0,,,
132846532,"Nội thất, đồ gia dụng khác",,,2.0,,,
132846598,1,,,1.0,,,
132846631,8,,,1.0,,,
132846643,9,,,1.0,,,
132846682,2,,,1.0,,,
120647505,Đồ dùng văn phòng,,,1.0,,,
131815957,Đồ dùng văn phòng,,,1.0,,,
132546279,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132673244,Đồ dùng văn phòng,,,1.0,,,
132774325,Đồ dùng văn phòng,,,2.0,,,
132828135,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132828314,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132828324,Đồ dùng văn phòng,,,1.0,,,
132828675,Đồ dùng văn phòng,,,1.0,,,
132828696,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132828714,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132829202,Đồ dùng văn phòng,,,1.0,,,
132829743,Đồ dùng văn phòng,,,1.0,,,
132830854,Đồ dùng văn phòng,,,1.0,,,
132830924,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132830940,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132831067,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132831088,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132832255,Đồ dùng văn phòng,,,2.0,,,
132832662,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132832973,Đồ dùng văn phòng,,,1.0,,,
132833355,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132833628,Đồ dùng văn phòng,,,1.0,,,
132833639,Đồ dùng văn phòng,,,1.0,,,
132833749,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132834486,Đồ dùng văn phòng,,,1.0,,,
132834745,Đồ dùng văn phòng,,,1.0,,,
132835376,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132835439,Đồ dùng văn phòng,,,1.0,,,
132836061,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132837225,Đồ dùng văn phòng,,,1.0,,,
132837231,Đồ dùng văn phòng,,,1.0,,,
132837618,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132838320,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132838803,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132839037,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132839168,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132839337,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132839545,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132839665,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132840919,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132841752,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132842577,Đồ dùng văn phòng,,,1.0,,,
132842696,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132842767,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132843606,"Đồ chuyên dụng, Giống nuôi trồng",,,2.0,,,
132843787,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132843789,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132843865,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132844061,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132844545,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132845286,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132845294,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132845581,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132845806,Đồ dùng văn phòng,,,1.0,,,
132846059,Đồ dùng văn phòng,,,1.0,,,
132846165,Đồ dùng văn phòng,,,1.0,,,
132846392,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132846641,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132846817,"Đồ chuyên dụng, Giống nuôi trồng",,,1.0,,,
132407232,"Đồ sưu tầm, đồ cổ",,,2.0,,,
132525756,Nhạc cụ,,,1.0,,,
132752600,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132773486,"Đồ thể thao, Dã ngoại",,,1.0,,,
132785744,"Đồ thể thao, Dã ngoại",,,1.0,,,
132792526,"Đồ thể thao, Dã ngoại",,,1.0,,,
132833674,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132833915,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132834052,Sở thích khác,,,1.0,,,
132834098,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132834195,"Đồ thể thao, Dã ngoại",,,1.0,,,
132834462,Nhạc cụ,,,1.0,,,
132834478,"Đồ thể thao, Dã ngoại",,,1.0,,,
132834940,Sách,,,1.0,,,
132834959,Sách,,,1.0,,,
132834987,Sách,,,1.0,,,
132835037,Sách,,,1.0,,,
132835090,Sách,,,2.0,,,
132835112,Sách,,,2.0,,,
132835643,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132836472,"Đồ thể thao, Dã ngoại",,,2.0,,,
132837015,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132837080,Thiết bị chơi game,,,1.0,,,
132837680,Nhạc cụ,,,1.0,,,
132837954,"Đồ thể thao, Dã ngoại",,,1.0,,,
132838155,Sách,,,1.0,,,
132838359,Sở thích khác,,,1.0,,,
132838551,Sách,,,2.0,,,
132838739,Sách,,,2.0,,,
132838829,"Đồ thể thao, Dã ngoại",,,2.0,,,
132839187,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132839514,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132839669,Sách,,,1.0,,,
132839856,"Đồ thể thao, Dã ngoại",,,1.0,,,
132839873,"Đồ thể thao, Dã ngoại",,,1.0,,,
132841782,"Đồ thể thao, Dã ngoại",,,1.0,,,
132841803,Thiết bị chơi game,,,1.0,,,
132841850,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132842231,Thiết bị chơi game,,,1.0,,,
132842414,Sở thích khác,,,2.0,,,
132842902,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132843058,Thiết bị chơi game,,,1.0,,,
132843226,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132843480,"Đồ sưu tầm, đồ cổ",,,2.0,,,
132843751,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132844116,Thiết bị chơi game,,,2.0,,,
132844244,"Đồ thể thao, Dã ngoại",,,1.0,,,
132844417,Sách,,,1.0,,,
132844555,"Đồ thể thao, Dã ngoại",,,1.0,,,
132844584,Thiết bị chơi game,,,1.0,,,
132844842,Sở thích khác,,,1.0,,,
132845133,"Đồ thể thao, Dã ngoại",,,1.0,,,
132845515,"Đồ thể thao, Dã ngoại",,,1.0,,,
132845773,"Đồ thể thao, Dã ngoại",,,1.0,,,
132845947,Nhạc cụ,,,1.0,,,
132846091,"Đồ sưu tầm, đồ cổ",,,1.0,,,
132846281,Nhạc cụ,,,1.0,,,
132846710,Thiết bị chơi game,,,1.0,,,
132846844,Thiết bị chơi game,,,1.0,,,
132325868,Nước hoa,,,1.0,,,
132338489,Phụ kiện thời trang khác,,,2.0,,,
132778198,Túi xách,,,2.0,,,
132811207,Đồng hồ,,,1.0,,,
132813566,Phụ kiện thời trang khác,,,2.0,,,
132824620,Giày dép,,,1.0,,,
132845017,Giày dép,,,1.0,,,
132845030,Quần áo,,,1.0,,,
132845037,Giày dép,,,1.0,,,
132845050,Phụ kiện thời trang khác,,,2.0,,,
