list_id,property_type,listing_type,area_m2,living_area_m2,width_m,length_m,rooms,toilets,floors,legal_document,furnishing,street_name,price_per_m2,area_group,price_group
132371456,3,sale,70.0,490.0,4.5,16.0,11.0,7.0,7.0,1.0,1.0,Đường Trần Duy Hưng,428571428.5714286,medium,over_10b
132025602,2,,55.0,,,,5.0,,,,,Đường Nghiêm Xuân Yêm,300000000.0,small,over_10b
132371587,4,rent,75.0,,,,,,,,,Tăng Thiết Giáp,333333.3333333333,medium,under_1b
132012036,3,sale,48.0,,,,4.0,4.0,,1.0,2.0,Đường Di Trạch,108333333.33333333,small,5_10b
132348939,3,rent,15.0,,,,2.0,,,,,Ngõ Văn Hương,233333.33333333334,very_small,under_1b
128251408,Phòng trọ,rent,25.0,,,,,,,,,Phố Phú Đô,152000.0,very_small,under_1b
132371217,3,,55.0,330.0,4.5,,11.0,,6.0,1.0,1.0,Hoàng Mai,294545454.54545456,small,over_10b
131460370,3,sale,40.0,,,,5.0,,5.0,1.0,,Phố Vũ Tông Phan,257500000.0,small,over_10b
132270869,3,rent,18.0,,,,2.0,2.0,,,,Phố Lê Gia Đỉnh,416666.6666666667,very_small,under_1b
132371093,1,,44.0,,,,,,,1.0,,Đường Đình Bắc Lãm,95454545.45454545,small,3_5b
132370965,1,rent,45.0,,,,3.0,,,,,Đường Ngọc Thụy,233333.33333333334,small,under_1b
132371353,3,,40.0,240.0,4.0,12.0,4.0,,6.0,1.0,1.0,Đường Thái Hà,425000000.0,small,over_10b
131033625,2,,25.0,,,,1.0,1.0,,,,Cầu vượt Tây Mỗ,160000.0,very_small,under_1b
132248734,4,rent,200.0,,,,,,,3.0,2.0,Trung Kính,577500.0,large,under_1b
132113055,1,sale,650.0,,15.0,48.0,,,,1.0,,Tân Hội,6123076.923076923,very_large,3_5b
132117023,3,rent,50.0,50.0,,,1.0,1.0,1.0,1.0,2.0,Ngõ 14 Nguyên Hồng,140000.0,small,under_1b
131022369,1,sale,45.0,,5.0,,,,,1.0,,Đường Đa Tốn,80000000.0,small,3_5b
132370723,1,,50.0,,,,3.0,4.0,,,,an đào,257000000.0,small,over_10b
132371492,3,,39.0,240.0,4.0,10.0,4.0,,6.0,1.0,1.0,Phố Chùa Bộc,433333333.3333333,small,over_10b
132217124,3,,31.5,180.0,3.0,10.0,4.0,,6.0,,3.0,Ngõ 97 Thái Thịnh,301587301.5873016,small,5_10b
132370854,3,rent,55.0,,,,,,,1.0,1.0,xã đàn 2,154545.45454545456,small,under_1b
132370855,3,rent,50.0,,,,2.0,,,,,Đường Nguyễn Văn Linh,90000.0,small,under_1b
132369705,3,rent,43.0,,,,3.0,,,,,Ngách 56 Ngõ 61 Phố Trạm,255813.9534883721,small,under_1b
132290556,Phòng trọ,rent,42.0,,,,,,,,2.0,Phố Ngọc Trục,135714.2857142857,small,under_1b
132370221,3,sale,40.0,40.0,,,4.0,,4.0,1.0,2.0,Cổ điển A,165000000.0,small,5_10b
132173102,3,sale,33.0,150.0,363.0,10.5,4.0,3.0,4.0,1.0,2.0,Đường Lạc Long Quân,241818181.8181818,small,5_10b
132240047,Phòng trọ,,30.0,,,,,,,,2.0,Đường Giải Phóng,143333.33333333334,small,under_1b
132369839,1,,52.0,,,,2.0,2.0,,6.0,2.0,Đường Mễ Trì,32692307.692307692,small,1_3b
125718706,1,sale,40.0,,,,,,,1.0,,Đường Tả Thanh Oai,72500000.0,small,1_3b
132370995,4,rent,25.0,,,,,,,,,Phố Chu Huy Mân,200000.0,very_small,under_1b
132369724,3,rent,32.0,150.0,,,3.0,4.0,5.0,1.0,,Quốc Lộ 21b,250000.0,small,under_1b
132371517,3,,35.0,155.0,4.3,8.0,4.0,,5.0,1.0,1.0,Phố Hồng Mai,280000000.0,small,5_10b
132370365,3,sale,45.0,45.0,,,3.0,3.0,3.0,1.0,2.0,Tứ hiệp,131111111.1111111,small,5_10b
131779389,2,,28.0,,,,1.0,,,,,Phố Trịnh Văn Bô,142857.14285714287,very_small,under_1b
129456707,3,,50.0,50.0,4.0,,2.0,,3.0,4.0,1.0,Trần Hoà,58000000.0,small,1_3b
132291011,3,sale,26.0,60.0,42.0,6.0,2.0,1.0,2.0,2.0,2.0,Phố Trịnh Đình Cửu,96153846.15384616,very_small,1_3b
132370245,1,rent,84.0,,,,2.0,,,,,Đường Lý Sơn,107142.85714285714,medium,under_1b
131791740,3,sale,40.0,,,,5.0,,4.0,1.0,2.0,Phố Định Công Thượng,235000000.0,small,5_10b
131472200,3,rent,36.0,110.0,,,3.0,2.0,3.0,1.0,2.0,Đường Hoàng Hoa Thám,388888.8888888889,small,under_1b
132369865,1,rent,70.0,,,,2.0,,,,,Đường Phúc Lợi,107142.85714285714,medium,under_1b
131352908,Phòng trọ,,30.0,,,,,,,,2.0,Đường Xuân La,200000.0,small,under_1b
132277335,Phòng trọ,,20.0,,,,,,,,2.0,Phố Hàng Cháo,175000.0,very_small,under_1b
132370904,1,rent,40.0,,,,4.0,,,,,Ngõ 40 phố Giang Biên,325000.0,small,under_1b
