ad_id,list_id,title,price,area,district,ward,city,property_type,rooms,date,body,price_per_m2,price_billion,listing_type,area_group,price_group
176062899,132371587,"CHO THUÊ MẶT BẰNG, SÀN VP",25000000,75.0,Quận Bắc Từ Liêm,Phường Đông Ngạc,Hà Nội,"Văn phòng, Mặt bằng kinh doanh",3.0,3 phút trước,"Dự án: 
Thông tin chi tiết: Cho thuê mặt bằng mặt phố, phù hợp tất cả mọi loại hình kinh doanh, quán ăn, bi-a, quán nét,.....liên hệ chính chủ để được giá ***. 2 nhà liền kề nhau 1 bên 70M2 2 bên 140m2. 2 sàn 280m2 có thể thuê 2 mặt bằng + thêm sàn lên trên",333333.3333333333,0.025,rent,medium,under_1b
176036459,132348939,cho thuê nhà khép kín ngõ Văn Hương,3500000,15.0,Quận Đống Đa,Phường Hàng Bột,Hà Nội,Nhà ở,2.0,2 giờ trước,"Chính chủ cần cho thuê nhà trong ngõ Văn Hương,nhà khép kín có bếp và nvs riêng.Điện nước theo công tơ nhà nước",233333.33333333334,0.0035,rent,very_small,under_1b
171270924,128251408,Chính chủ cho thuê Chung cư mini mỹ đình - giá chỉ 3.5tr,3800000,25.0,Quận Nam Từ Liêm,Phường Phú Đô,Hà Nội,Phòng trọ,3.0,25 phút trước,"- Chính chủ cho thuê phòng tại Mỹ Đình, phòng có diện tích 25m2 đã trang bị đầy đủ trang thiết bị: điều hòa, nóng lạnh, tủ lạnh, bếp nấu, hút mùi.....
- Phòng nào cũng có ban công, cửa sổ siêu thoáng.
- Phòng ở gần ngay sân vận động Mỹ Đình, ngõ trước nhà ô tô đỗ cửa ra vào thoải mái.
- Giá phòng cho thuê hợp lý, nhiều ưu đãi cho khách thuê.",152000.0,0.0038,rent,very_small,under_1b
175945999,132270869,Cho thuê nhà 4 tầng ngõ phố Lê Gia Định,7500000,18.0,Quận Hai Bà Trưng,Phường Đồng Nhân,Hà Nội,Nhà ở,2.0,4 phút trước,"Nhà 4 tầng, 2 ngủ 2 vệ sinh.
Nhà ngõ yên tĩnh, dân cư xung quoanh văn hoá.
Gần chợ, trường học, bệnh viện, hồ,…
Nhà mới sửa sạch sẽ, đủ đồ dùng chỉ việc vào ở. Bếp từ, bình nóng lạnh, tủ lạnh, điều hoà, tủ, đệm…
Phù hợp gia đình con nhỏ.
",416666.6666666667,0.0075,rent,very_small,under_1b
176062097,132370965,"Cho thuê nhà Ngọc Thuỵ, nhà mới,40m, 5 tầng, full nội thất ,ô tô đỗ",10500000,45.0,Quận Long Biên,Phường Ngọc Thụy,Hà Nội,Nhà ở,3.0,1 giờ trước,"Cho thuê nguyên căn Ngọc Thụy- 5 tầng 3 ngủ khép kín- 40m2- 10.5 tr/thg
📌 Vị trí: gần trường học, chợ, khu vực yên tĩnh, dân trí cao
​🏠 Thiết kế: 40m2 xây 5 tầng
- Tầng 1: phòng khách+ bếp 
- Tầng 2,3,4: mỗi tầng 1 ngủ khép kín.
- Tầng 5: sân phơi.
​✅ Nội thất: điều hoà,nóng lạnh, giường, tủ quần áo, máy giặt,....
​💰 Giá thuê: 10.5tr/thg.
LH ngay để xem nhà trực tiếp!",233333.33333333334,0.0105,rent,small,under_1b
175920177,132248734,CHO THUÊ MẶT BẰNG KINH DOANH,115500000,200.0,Quận Cầu Giấy,Phường Yên Hoà,Hà Nội,"Văn phòng, Mặt bằng kinh doanh",3.0,2 giờ trước,"📢 Siêu Thị C-Market cho thuê mặt bằng kinh doanh ✨️✨️✨️
👉 Vị trí ngay tầng 1 tòa chung cư , có chỗ đậu xe ngay trước cửa rất thuận tiện
👉 Trang thiết bị đồ dùng đầy đủ vào có thể sử dụng ngay
👉 Có thể chế biến các món Việt,Trung ,Hàn Quốc
👉 Có thể làm đồ uống lạnh, gà rán, hamberger
👉 Nấu bữa sáng, trưa ,tối đều được
👉 Các món lẩu , đồ nướng vẫn ok
👉 Giá cả có thể thương lượng lúc gặp trực tiếp
Quan tâm mời liên hệ : ***",577500.0,0.1155,rent,large,under_1b
175766298,132117023,Cho thuê nhà ở Thành Công (ưu tiên hộ gia đình).,7000000,50.0,Quận Ba Đình,Phường Thành Công,Hà Nội,Nhà ở,1.0,2 giờ trước,"Dự án: 
Thông tin chi tiết: Nơi ở 
+ Gần trường mầm non, cấp 1, cấp 2, chợ
+Gần bệnh viện
+Có chỗ để ô tô,xe máy ở xung quanh
+Có thể xem nhà bất cứ lúc nào
-Liên hệ chính chủ không qua môi giới
Sdt:***",140000.0,0.007,rent,small,under_1b
176061958,132370854,"cho thuê văn phòng phố Xã Đàn 2,Đống Đa,hà nội,dtsd 55m2,thông sàn,",8500000,55.0,Quận Đống Đa,Phường Trung Phụng,Hà Nội,"Văn phòng, Mặt bằng kinh doanh",3.0,1 giờ trước,"cho thuê văn phòng phố Xã Đàn 2,Đống Đa,hà nội,dtsd 55m2,thông sàn,giá 8,5tr/tháng 
-Tòa nhà dt 100m x 9 tầng, có thang máy, có hầm để xe , đèn điện điều hòa âm trần, trần thạch cao, cửa kính, bảo vệ 24/24, pccc, thiết bị chiếu sáng đầy đủ, vệ sinh khép kín ,
-còn trống tầng 5,view ngoài ,diện tích 55m2/sàn,thông sàn,giá 8,5tr/tháng (chưa vat và bao phí dịch vụ) 
-Đường  ô tô đỗ cửa ,Khu vực yên tĩnh, an ninh tốt thuận tiện lam văn phong, công nghệ, du lịch, 
-miễn phí dịch vụ: điện hành lang, bảo trì thang máy, bảo vệ , trông xe
-giờ làm việc  8h – 22h tối hằng ngày kể cả chủ nhật 
-được treo biển công ty 
-miễn phí làm thêm giờ 
",154545.45454545456,0.0085,rent,small,under_1b
176061946,132370855,"CHo thuê nhà Nguyễn Văn Linh, 50m, ô tô đỗ cửa, full đồ, 4,5tr/tháng",4500000,50.0,Quận Long Biên,Phường Thạch Bàn,Hà Nội,Nhà ở,2.0,1 giờ trước,"CHO THUÊ NHÀ NGUYEN CĂN PHỐ NGUYỄN VĂN LINH - THẠCH BÀN - Ô TÔ LÙI CỬA - NỘI THẤT CƠ BẢN - Ở HỘ GIA ĐÌNH - GẦN CHỢ ĐỒNG DINH!
+ Vị trí: gần chợ Đồng Dinh, ô tô lùi cửa. 
+ Tổng DT 50m2, có gác xép
+ Nội thất: điều hoà, nóng lạnh, giường, tủ...
+ Điện nước giá dân
+ Giá 4.5 triệu /tháng . Hình thức thanh toán: cọc 1 đóng 3. HĐ trên 1 năm. 
LH ngay để xem nhà trực tiếp!",90000.0,0.0045,rent,small,under_1b
176060616,132369705,"Cho thuê nhà Phố Trạm, Long Biên, 43m x5 tầng, full đồ,ở ngay, ô tô đỗ",11000000,43.0,Quận Long Biên,Phường Long Biên,Hà Nội,Nhà ở,3.0,3 giờ trước,"
🌹CHO THUÊ NHÀ NGUYÊN CĂN PHỐ TRẠM - LONG BIÊN - Ô TÔ ĐỖ CỬA - LÀM VĂN PHÒNG , Ở HỘ GIA ĐÌNH - 3PN - NỘI THẤT CƠ BẢN - 200M ĐẾN AEON MALL LONG BIÊN !
+ Diện tích 43m, Nhà 5 tầng: 
Tầng 1 : PK, bếp, WC
Tầng 2,3,4: mỗi tầng 1PN, WC 
Tầng 5: Phòng thờ , sân phơi. 
+ Nội thất : 2 điều hoà, 3 nóng lạnh, 2 bộ giường tủ, sofa, bếp từ, tủ bếp. 
+ Đóng 3 cọc 1 . HĐ trên 1 năm. 
+ Nhận nhà ngay.
LH: *** để xem nhà trực tiếp ",255813.9534883721,0.011,rent,small,under_1b
