ad_id,list_id,title,price,area,district,ward,city,property_type,rooms,date,body,price_per_m2,price_billion,listing_type,area_group,price_group
176062730,132371456,BÁN NHÀ Trần_Duy_Hưng  7TẦNG THANG_MÁY - Ô TÔ TRÁNH - Gara,30000000000,70.0,Quận Cầu Giấy,Phường Trung Hoà,Hà Nội,Nhà ở,11.0,22 phút trước,"BÁN NHÀ #Trần_Duy_Hưng #7TẦNG #THANG_MÁY - Ô TÔ TRÁNH - Gara 
Diện tích 70m2 
Vị trí cực đẹp - gần phố, #OTO tránh, hưởng trọn tiện tích, thiết kế hiện đại 11 phòng ngủ rộng khép kín, tặng full nội thất xịn

Giá bán 30 tỷ nhỉnh( có thương lượng)
Quan tâm liên hệ *** xem 24/7.
",428571428.5714286,30.0,sale,medium,over_10b
175659390,132025602,"Nhà đẹp KĐT Đại Kim, Hoàng Mai 55m² 5 tầng vỉa hè ô tô tránh",16500000000,55.0,Quận Hoàng Mai,Phường Đại Kim,Hà Nội,Nhà ở,5.0,2 giờ trước,"45190112
Sốc - KĐT Đại Kim 55m² 5 tầng vỉa hè ô tô tránh.
- Nhà thuộc Khu đô thị Đại Kim, quy hoạch đồng bộ, dân cư đông, thanh khoản tốt.
- Đường phân lô, vỉa hè rộng phù hợp vừa ở vừa làm VP/cho thuê.
- Kết nối nhanh Nguyễn Xiển Giải Phóng Vành đai 3, gần Bán đảo Linh Đàm.
Giá 16,5 tỷ tài sản lõi khu đô thị phía Nam Hà Nội.
Nguyễn Huy Hiệu - 0936 665 ***. *** ",300000000.0,16.5,sale,small,over_10b
175643562,132012036,"Bán nhà Di Trạch 48m2, full nội thất 5,2 tỷ",5200000000,48.0,Huyện Hoài Đức,Xã Di Trạch,Hà Nội,Nhà ở,4.0,55 phút trước,"Dự án: 
Thông tin chi tiết: 🏅🏅🏅 Nhà đẹp DI TRẠCH , thiết kế hiện đại, full nội thất ,gần UBND xã , trường học . 
- Gần các trường đại học 
Cách ubnd xã , trường học các  cấp , chợ …. Chỉ 3 bước chân .
- Dân cư đông đúc , dân trí cao . Hàng xóm thân thiện. Giao thông thuận tiện.

💥 Thiết kế : 5 tầng hiện đại .
+ Tầng 1 : Phòng khách , bếp ,wc
+ Tầng 2,3,: Phòng ngủ, wc
+ Tầng 4: Phòng thờ , sân phơi .
🎗 Cam kết 
- Sổ đỏ chính chủ 
- Hỗ trợ ngân hàng tới 70% .

📞 Mọi thông tin chi tiết vui lòng liên hệ 
Sđt ***",108333333.33333333,5.2,sale,small,5_10b
176062426,132371217,"CHỈ 16.3 TỶ - SỞ HỮU ""CỖ MÁY IN TIỀN"" PCCC CHUẨN 2026 Hoàng Mai",16200000000,55.0,Quận Hoàng Mai,Phường Tương Mai,Hà Nội,Nhà ở,11.0,52 phút trước,"CHỈ 16.3 TỶ - SỞ HỮU ""CỖ MÁY IN TIỀN"" PCCC CHUẨN 2026
📍 Vị trí: 197 Hoàng Mai - Sát vách Bách-Kinh-Xây.
Thông số: 55m2 x 6T | MT 4.5m | Thang máy | 14 Phòng khép kín.

📈 Dòng tiền 850tr/năm (~6%/năm). 14 căn hộ Full nội thất.
🛡️ An toàn tuyệt đối: Hệ thống PCCC Spindler, cửa chống cháy, lối thoát hiểm riêng.
Sổ đỏ chính chủ - giao dich ngay
📞 LH: Em Phượng Đất- *** (Check quy hoạch & xem nhà 24/7).",294545454.54545456,16.2,sale,small,over_10b
174997460,131460370,BÁN NHÀ PHỐ VŨ TÔNG PHAN- 40M* 5TẦNG- Ô TÔ ĐỖ SÁT NHÀ- NGÕ THÔNG,10300000000,40.0,Quận Thanh Xuân,Phường Khương Trung,Hà Nội,Nhà ở,5.0,1 giờ trước,"Dự án: 
Thông tin chi tiết: • Diện tích: 40m
 • Thiết kế: 5 tầng, 5 phòng ngủ, đầy đủ công năng
 • Pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch

Vị trí cực đẹp – trung tâm phố khương hạ, thanh xuân 
• trước nhà thoáng sáng
 • vài bước ra mặt phố
 • Ngõ thông các tuyến đường lớn: Khương Trung - Khương Đình - Nguyễn Trãi - Ngã tư sở – Kim Giang – Vũ Tông Phan
 • Gần chợ, trường mầm non, cấp 1, cấp 2 – tiện ích không thiếu thứ gì
 • Khu dân cư an ninh tốt, an sinh đỉnh cao

Liên hệ: Em Huê – để xem nhà trực tiếp.
Miễn phí tư vấn pháp lý – hỗ trợ nhiệt tình đến khi vào ở.",257500000.0,10.3,sale,small,over_10b
176062263,132371093,"ìm đâu ra lô đất đẹp, nhỏ tiền 4,2 Tỷ, 33M ở Phú Lương được nữa ?",4200000000,44.0,Quận Hà Đông,Phường Phú Lương,Hà Nội,Đất,3.0,1 giờ trước,"Chính chủ cần bán nhanh để xoay vốn nên mới để giá 4,2 tỷ.
Diện tích 33m², vưà túi tiền hầu hết mọi người.
Đất đẹp, nở hậu, Mặt Tiền 4m, hậu 6m
Ngõ nông, cách 1 nhà ra ô tô, hiện trạng ngõ 1,7m
Ngay gần chợ, giữa làng nghề, tiện kinh doanh.
Sổ đỏ, sẵn sàng giao dịch.
Rất khó để tìm được lô đất đẹp mà giá chỉ 4,2 tỷ ( có thương lượng ), ai nhanh thì được.
Địa chỉ: 1.10 Đình Làng Bắc Lãm,  Phú Lương, Hà Nội
LH : ***
",95454545.45454545,4.2,sale,small,3_5b
176062611,132371353,17 TỶ – CHỐT NGAY HỘ KHẨU VIP TRUNG TÂM THÁI HÀ- thang máy,17000000000,40.0,Quận Đống Đa,Phường Trung Liệt,Hà Nội,Nhà ở,4.0,35 phút trước,"ĐỪNG XUỐNG TIỀN Ở ĐỐNG ĐA NẾU CHƯA XEM CĂN THÁI HÀ NÀY!

💥 17 TỶ – CHỐT NGAY HỘ KHẨU VIP TRUNG TÂM THÁI HÀ
✔ Nhà mới tinh 6 tầng, có thang máy xịn
✔ Mặt tiền 4.5m – hiếm trong phân khúc
✔ Công năng chuẩn chỉnh: 4 phòng ngủ rộng rãi

🚗 Ngõ thông – ô tô chạy vòng quanh, kinh doanh hay làm văn phòng đều đỉnh
📈 Khu vực giữ giá – thanh khoản cực nhanh

💎 Điểm khác biệt:
👉 Căn *** khu Thái Hà có thang máy giá dưới 17 tỷ hiện tại

⏳ Cơ hội không đến lần 2 – căn này chỉ chờ người quyết nhanh trong 48H

📞 Gọi ngay: *** (Phượng Đất)
Xem nhà thực tế – cảm nhận là chốt!",425000000.0,17.0,sale,small,over_10b
174495443,131033625,"CCMN FULL ĐỒ BAN CÔNG – QUANG TIẾN – VINSMART CITY (TÂY MỖ, NAM TỪ",4000000,25.0,Quận Nam Từ Liêm,Phường Tây Mỗ,Hà Nội,Căn hộ/Chung cư,1.0,2 giờ trước,"📍 Địa chỉ: Ngõ 117 Quang Tiến
📌 Gần khu vực: Vinhomes Smart City – Đại lộ Thăng Long – Lê Trọng Tấn – Thiên Đường Bảo Sơn
🎓 Gần trường: ĐH Công Nghiệp Hà Nội – ĐH Thương Mại – Học viện Tài Chính – ĐH Quốc Gia (khu vực Cầu Giấy)

⏰ Phòng trống – vào ở luôn 

🏠 Loại phòng: Studio (mỗi sàn 5 phòng)
🌤 100% phòng có ban công + dây phơi riêng tại phòng
🛋 Nội thất: full nội thất – máy giặt riêng
🎟 Hỗ trợ làm thẻ cư dân Vinhomes Smart City – dùng full tiện ích:
🌿 Vào Vườn Nhật
🏊 Sử dụng tất cả bể bơi trong khu đô thị
🏀 Sân thể thao (tennis, bóng chuyền, bóng rổ,…) và các tiện ích khác
💡 Dịch vụ:
⚡ Điện 4.2k/số | 💧 Nước 35k/khối | 🌐 Mạng 100k/phòng | 🧹 Phí dịch vụ 200k/người | 🛵 Free 1 xe máy/người (tầng hầm)
📌 Lưu ý:
🚫 Không để xe điện",160000.0,0.004,sale,very_small,under_1b
175761640,132113055,"E là chính chủ bán 650m đất 3 mặt tiền, đg ôtô tránh tại Chương Mỹ-HN",3980000000,650.0,Huyện Chương Mỹ,Xã Trần Phú,Hà Nội,Đất,3.0,1 giờ trước,"Dt 11,5 x 16 x 48m. Tổng thực tế 650m, sổ 489m, sổ đỏ ngày xưa cha ông để lại. đã từng cắm ngân hàng nên pháp lý uy tín ạ
Phù hợp xây nghỉ dưỡng, không khí vô cùng trong lành mà vẫn đầy đủ tiện nghi, tặng bản thiết kế full luôn ạ.
Cách Văn Quán Hà Đông 20km",6123076.923076923,3.98,sale,very_large,3_5b
174482416,131022369,"CC cần bán đất Đa Tốn -Gia Lâm ô tô vào tận đất, giá nhỉnh 3tỷ xíu",3600000000,45.0,Huyện Gia Lâm,Xã Đa Tốn,Hà Nội,Đất,3.0,33 phút trước,"Dự án: 
Thông tin chi tiết: ♦️♦️ Đa Tốn - Gia Lâm - Hà Nội 

+ Diện Tích 45M - MT 5m = HẬU 

+ Đường ô tô 7 chỗ đỗ trước đất, trải nhựa

+ Vị trí vàng: Nằm giữa 2 đại đô thị lớn nhất là Ecopark và Vinhomes Ocean Park cách chỉ 300m

+ Bán kính 300m trường học các cấp, chợ Bún, UBND, giáp quốc lộ 5B tiện di chuyển các tỉnh 

+ Giá: 3.600 tỷ ( có bớt) 

+ Sổ đỏ cất két, giao dịch trong ngày",80000000.0,3.6,sale,small,3_5b
