list_id,vehicle_type,brand,model,year,mileage_km,fuel,transmission,condition,color,origin
101224138,,3.0,78.0,2014.0,4.0,,,1,,
104119111,,1.0,5.0,2022.0,1000.0,,,1,,
111368138,,38.0,365.0,2020.0,6000.0,,,1,,
115867216,,1.0,3.0,2024.0,12000.0,,,1,,
115874523,,3.0,282.0,2020.0,3.0,,,1,,
120470110,,1.0,426.0,2024.0,3.0,,,1,,
120947073,,1.0,19.0,2010.0,3.0,,,1,,
121643723,,3.0,78.0,2016.0,3.0,,,1,,
125752464,,1.0,14.0,2012.0,3.0,,,1,,
126837258,,80.0,1133.0,2026.0,,4.0,1.0,2,,
127308420,,1.0,24.0,2014.0,1.0,,,1,,
130017064,,1.0,4.0,2023.0,3.0,,,1,,
130107988,,80.0,1279.0,2026.0,,4.0,1.0,2,,
130593605,,1.0,19.0,2015.0,3.0,,,1,,
130775748,,1.0,333.0,2015.0,3.0,,,1,,
130876252,,23.0,628.0,2013.0,160000.0,1.0,1.0,1,,
131078294,,80.0,1084.0,2026.0,,4.0,1.0,2,,
131738921,,1.0,426.0,2024.0,3.0,,,1,,
131746240,,3.0,84.0,2016.0,3.0,,,1,,
131764012,,1.0,3.0,2012.0,1.0,,,1,,
131957281,,1.0,3.0,2010.0,3.0,,,1,,
131970050,,19.0,533.0,2018.0,80000.0,2.0,1.0,1,,
132235268,,1.0,21.0,2022.0,3.0,,,1,,
132428961,,1.0,6.0,2019.0,17.0,1.0,1.0,1,,
132449328,,1.0,21.0,2022.0,3.0,,,1,,
132450206,,1.0,3.0,2021.0,3.0,,,1,,
132595599,,1.0,3.0,2019.0,22000.0,,,1,,
132637552,,,,,,,,1,,
132649260,,,,2011.0,5.0,2.0,,1,,
132683706,,3.0,78.0,2010.0,9.0,,,1,,
132771768,,18.0,992.0,2019.0,19.0,1.0,1.0,1,,
132790397,,18.0,992.0,2022.0,18.0,1.0,1.0,1,,
132791327,,80.0,1131.0,2021.0,15.0,1.0,1.0,1,,
132809125,,,,,,,,1,,
132828642,,1.0,14.0,2014.0,5.0,,,1,,
132828676,,1.0,3.0,2011.0,29.0,,,1,,
132843930,,2.0,71.0,2016.0,1.0,1.0,2.0,1,,
132844054,,1.0,22.0,2023.0,1.0,,,1,,
132844099,,18.0,502.0,2018.0,19.0,2.0,2.0,1,,
132844137,,1.0,10.0,2023.0,1.0,,,1,,
132844465,,3.0,78.0,2016.0,9.0,,,1,,
132844718,,1.0,22.0,2016.0,37.0,,,1,,
132844864,,2.0,1158.0,2024.0,1.0,1.0,1.0,1,,
132844961,,80.0,1133.0,2026.0,,4.0,1.0,2,,
132845061,,80.0,1279.0,2026.0,,4.0,1.0,2,,
132845382,,2.0,67.0,2019.0,3.0,2.0,2.0,1,,
132845963,,3.0,83.0,2021.0,2.0,,,1,,
132845998,,18.0,502.0,2017.0,19.0,2.0,1.0,1,,
132846034,,,,,,,,1,,
132846094,,18.0,502.0,2018.0,11.0,2.0,2.0,1,,
132846131,,24.0,261.0,2018.0,3.0,,,1,,
132846197,,4.0,161.0,2019.0,20.0,2.0,1.0,1,,
132846296,,44.0,442.0,2025.0,6300.0,,,1,,
132846529,,,,2019.0,4.0,2.0,,1,,
132846561,,3.0,84.0,2014.0,3.0,,,1,,
132846584,,5.0,194.0,2022.0,12.0,1.0,1.0,1,,
132846688,,3.0,81.0,2010.0,11.0,,,1,,
132846698,,1.0,21.0,2006.0,4.0,1.0,1.0,1,,
132846751,,1.0,3.0,2021.0,5.0,,,1,,
89149585,,4.0,57.0,2013.0,4.0,,,1,,
